variable,description,outcome_score,outcome_type,matching_keywords,is_binary,positive_rate,missing_pct,unique_count,quality_score,combined_score,eligible_for_label
var202069,No. of Missed Credit Card Bill Payments [Last 6 Months],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.35068537528599486,35,1.0,0.75,False
var202070,No. of Missed Credit Card Bill Payments [Last 3 Months],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.35068537528599486,23,1.0,0.75,False
var202071,No. of Missed Credit Card Bill Payments [Last 1 Month],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.35068537528599486,11,1.0,0.75,False
var202078,No. of Missed Credit Card Bill Payments [Last 21 Days],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.35068537528599486,10,1.0,0.75,False
var202079,No. of Missed Credit Card Bill Payments [Last 14 Days],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.35068537528599486,9,1.0,0.75,False
var202080,No. of Missed Credit Card Bill Payments [Last 7 Days],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.35068537528599486,8,1.0,0.75,False
var202189,No. of Missed Credit Card Bill Payments [Between 30-60 Days],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.35068537528599486,12,1.0,0.75,False
var202190,No. of Missed Credit Card Bill Payments [Between 60-90 Days],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.35068537528599486,18,1.0,0.75,False
var206020,No. of Missed Loan Payments [Lifetime],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.010710887039624207,56,1.0,0.75,False
var206021,No. of Missed Loan Payments [Last 12 Months],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.010710887039624207,49,1.0,0.75,False
var206022,No. of Missed Loan Payments [Last 6 Months],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.010710887039624207,40,1.0,0.75,False
var206023,No. of Missed Loan Payments [Last 3 Months],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.010710887039624207,28,1.0,0.75,False
var206024,No. of Missed Loan Payments [Last 1 Month],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.010710887039624207,15,1.0,0.75,False
var206180,No. of Missed Loan Payments [Between 30-60 Days],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.010710887039624207,15,1.0,0.75,False
var206181,No. of Missed Loan Payments [Between 60-90 Days],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.010710887039624207,16,1.0,0.75,False
var301027,No. of Missed Postpaid Bill Payment [Lifetime],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.011014598392354573,37,1.0,0.75,False
var301028,No. of Missed Fixed Line Bill Payment [Last 12 Months],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.011014598392354573,24,1.0,0.75,False
var301057,No. of Missed Postpaid Bills [Last 3 Months],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.011014598392354573,11,1.0,0.75,False
var301058,No. of Missed Internet Payments [Lifetime],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.011014598392354573,50,1.0,0.75,False
var301061,No. of Missed Internet Bill Payments [Last 6 Months],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.011014598392354573,15,1.0,0.75,False
var301062,No. of Missed Internet Bill Payments [Last 3 Months],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.011014598392354573,10,1.0,0.75,False
var301063,No. of Missed Fixed Line Bill Payments [Last 6 Months],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.011014598392354573,14,1.0,0.75,False
var301064,No. of Missed Fixed Line Bill Payments [Last 3 Months],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.011014598392354573,9,1.0,0.75,False
var301067,No. of Missed Postpaid Bills [Last 12 Months],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.011014598392354573,19,1.0,0.75,False
var301068,No. of Missed Postpaid Bills [Last 6 Months],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.011014598392354573,15,1.0,0.75,False
var302006,No. of Missed Electricity Bill Payments [Last 12 Months],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.011014598392354573,43,1.0,0.75,False
var302007,No. of Missed Electricity Bill Payments [Last 3 Months],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.011014598392354573,13,1.0,0.75,False
var302014,No. of Missed Electricity Bill Payments [Lifetime],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.011014598392354573,50,1.0,0.75,False
var302015,No. of Missed Electricity Bill Payments [Last 6 Months],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.011014598392354573,29,1.0,0.75,False
var304007,No. of Missed Gas Bill Payments [Lifetime],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.011014598392354573,19,1.0,0.75,False
var304008,No. of Missed Gas  Bill Payments [Last 6 Months],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.011014598392354573,10,1.0,0.75,False
var304009,No. of Missed Gas  Bill Payments [Last 3 Months],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.011014598392354573,6,1.0,0.75,False
var308011,No. of Missed Utilities Bill Payments Last [Lifetime],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.011014598392354573,77,1.0,0.75,False
var308012,No. of Missed Utilities Bill Payments [Last 12 Months],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.011014598392354573,49,1.0,0.75,False
var308013,No. of Missed Utility Bill Payments [Last 6 Months],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.011014598392354573,31,1.0,0.75,False
var308014,No. of Missed Utility Bill Payments [Last 3 Months],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.011014598392354573,15,1.0,0.75,False
var308015,No. of Missed Utilities Bill Payments [Last 1 Month],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.011014598392354573,7,1.0,0.75,False
var701022,No. of Missed Insurance Payments [Last 12 Months],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.32023325031889693,35,1.0,0.75,False
var701023,No. of Missed Insurance Payments [Last 6 Months],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.32023325031889693,21,1.0,0.75,False
var701024,No. of Missed Insurance Payments [Last 3 Months],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.32023325031889693,12,1.0,0.75,False
var701025,No. of Missed Insurance Payments [Last 1 Month],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.32023325031889693,6,1.0,0.75,False
var701026,Avg. Amount of Missed Payment [Last 12 Months],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.32179230192957947,1175,1.0,0.75,False
var701027,Avg. Amount of Missed Payment [Last 6 Months],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.32179230192957947,455,1.0,0.75,False
var701028,Avg. Amount of Missed Payment [Last 3 Months],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.32179230192957947,193,1.0,0.75,False
var701029,Avg. Amount of Missed Payment [Last 1 Month],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.32179230192957947,31,1.0,0.75,False
var501052,No. of BNPL Defaults [Lifetime],0.95,keyword_weighted,\bdefault(s|ed|ing)?\b,False,,0.5370629087448622,4,0.7,0.6649999999999999,False
var501053,No. of BNPL Defaults [Last 12 Months],0.95,keyword_weighted,\bdefault(s|ed|ing)?\b,False,,0.5370629087448622,4,0.7,0.6649999999999999,False
var501054,No. of BNPL Defaults [Last 6 Months],0.95,keyword_weighted,\bdefault(s|ed|ing)?\b,False,,0.5370629087448622,4,0.7,0.6649999999999999,False
var501055,No. of BNPL Defaults [Last 3 Months],0.95,keyword_weighted,\bdefault(s|ed|ing)?\b,True,0.002886634009797061,0.5370629087448622,2,0.7,0.6649999999999999,False
var501056,No. of BNPL Defaults [Last 2 Months],0.95,keyword_weighted,\bdefault(s|ed|ing)?\b,True,0.0013558432470258922,0.5370629087448622,2,0.7,0.6649999999999999,False
var501057,No. of BNPL Defaults [Last 1 Month],0.95,keyword_weighted,\bdefault(s|ed|ing)?\b,True,0.0006997900629811056,0.5370629087448622,2,0.7,0.6649999999999999,False
var501058,No. of BNPL Defaults [Last 15 Days],0.95,keyword_weighted,\bdefault(s|ed|ing)?\b,True,0.00039363191042687194,0.5370629087448622,2,0.7,0.6649999999999999,False
var501059,No. of BNPL Defaults [Last 7 Days],0.95,keyword_weighted,\bdefault(s|ed|ing)?\b,True,0.0001749475157452764,0.5370629087448622,2,0.7,0.6649999999999999,False
var501101,No. of BNPL Defaults [Between 30-60 Days],0.95,keyword_weighted,\bdefault(s|ed|ing)?\b,True,0.0009184744576627012,0.5370629087448622,2,0.7,0.6649999999999999,False
var501102,No. of BNPL Defaults [Between 60-90 Days],0.95,keyword_weighted,\bdefault(s|ed|ing)?\b,True,0.0017494751574527643,0.5370629087448622,2,0.7,0.6649999999999999,False
var201224,No.of Distinct CASA Negative Events [Last 6 Months],0.6,keyword_weighted,(negative\w*|noofnegativeevents),False,,0.016380165623924355,5,1.0,0.6,False
var201263,No. of Credit Card Overlimit Occurrences [Lifetime],0.6,keyword_weighted,over[-\s]?limit,False,,0.35068537528599486,71,1.0,0.6,False
var201264,No. of Credit Card Overlimit Occurrences [Last 12 Months],0.6,keyword_weighted,over[-\s]?limit,False,,0.35068537528599486,64,1.0,0.6,False
var201265,No. of Credit Card Overlimit Occurrences [Last 6 Months],0.6,keyword_weighted,over[-\s]?limit,False,,0.35068537528599486,45,1.0,0.6,False
var201266,No. of Credit Card Overlimit Occurrences [Last 3 Months],0.6,keyword_weighted,over[-\s]?limit,False,,0.35068537528599486,27,1.0,0.6,False
var201267,No. of Credit Cards Overlimit Occurrences [Last 1 Month],0.6,keyword_weighted,over[-\s]?limit,False,,0.35068537528599486,11,1.0,0.6,False
var202003,Flag - Overlimit On Credit Card[Lifetime],0.6,keyword_weighted,over[-\s]?limit,True,0.14980198946022638,0.35068537528599486,2,1.0,0.6,False
var202057,No. of Transactions Declined Due To Overlimit [Lifetime],0.6,keyword_weighted,over[-\s]?limit; (declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.35068537528599486,41,1.0,0.6,False
var202058,No. of Transactions Declined Due To Overlimit [Last 12 Months],0.6,keyword_weighted,over[-\s]?limit; (declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.35068537528599486,34,1.0,0.6,False
var202059,No. of Transactions Declined Due To Overlimit [Last 6 Months],0.6,keyword_weighted,over[-\s]?limit; (declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.35068537528599486,20,1.0,0.6,False
var202060,No. of Transactions Declined Due To Overlimit [Last 3 Months],0.6,keyword_weighted,over[-\s]?limit; (declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.35068537528599486,10,1.0,0.6,False
var202061,No. of Transactions Declined Due To Overlimit [Last 1 Month],0.6,keyword_weighted,over[-\s]?limit; (declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.35068537528599486,6,1.0,0.6,False
var202065,No. of Credit Card Negative Events [Last 6 Months],0.6,keyword_weighted,(negative\w*|noofnegativeevents),False,,0.35068537528599486,39,1.0,0.6,False
var202185,No. of Credit Card Overlimit Occurrences [Between 30-60 Days],0.6,keyword_weighted,over[-\s]?limit,False,,0.35068537528599486,14,1.0,0.6,False
var202186,No. of Credit Card Overlimit Occurrences [Between 60-90 Days],0.6,keyword_weighted,over[-\s]?limit,False,,0.35068537528599486,21,1.0,0.6,False
var203041,No. of Negative Events In MutualFund (Lumpsum) [Lifetime],0.6,keyword_weighted,(negative\w*|noofnegativeevents),False,,0.12654639697098544,15,1.0,0.6,False
var203042,No. of Negative Events In MutualFund (Lumpsum) [Last 12 Months],0.6,keyword_weighted,(negative\w*|noofnegativeevents),False,,0.12654639697098544,14,1.0,0.6,False
var203043,No. of Negative Events In MutualFund (Lumpsum) [Last 6 Months],0.6,keyword_weighted,(negative\w*|noofnegativeevents),False,,0.12654639697098544,9,1.0,0.6,False
var203044,No. of Negative Events In MutualFund (Lumpsum) [Last 3 Months],0.6,keyword_weighted,(negative\w*|noofnegativeevents),False,,0.12654639697098544,5,1.0,0.6,False
var203045,No. of Negative Events In MutualFund (Lumpsum) [Last 1 Month],0.6,keyword_weighted,(negative\w*|noofnegativeevents),False,,0.12654639697098544,3,1.0,0.6,False
var206049,No. of Days Since Last Loan Negative Event [Lifetime],0.6,keyword_weighted,(negative\w*|noofnegativeevents),False,,0.010710887039624207,184,1.0,0.6,False
var206050,No. of Loan Negative Events [Last 6 Months],0.6,keyword_weighted,(negative\w*|noofnegativeevents),False,,0.010710887039624207,62,1.0,0.6,False
var701007,Flag - Insurance Negative Events [Lifetime],0.6,keyword_weighted,(negative\w*|noofnegativeevents),True,0.25380514103595153,0.32023325031889693,2,1.0,0.6,False
var901012,Number of Wallet Negative Events [Lifetime],0.6,keyword_weighted,(negative\w*|noofnegativeevents),False,,0.057765899289315435,116,1.0,0.6,False
var206025,Avg. Missed Payment Amount [Lifetime],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.7791006094474479,9072,0.7,0.5249999999999999,False
var501044,No. of Missed BNPL Bill Payments [Lifetime],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.5370629087448622,45,0.7,0.5249999999999999,False
var501045,No. of Missed BNPL Bill Payments [Last 12 Months],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.5370629087448622,41,0.7,0.5249999999999999,False
var501046,No. of Missed BNPL Bill Payments [Last 6 Months],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.5370629087448622,30,0.7,0.5249999999999999,False
var501047,No. of Missed BNPL Bill Payments [Last 3 Months],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.5370629087448622,24,0.7,0.5249999999999999,False
var501048,No. of Missed BNPL Bill Payments [Last 2 Months],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.5370629087448622,17,0.7,0.5249999999999999,False
var501049,No. of Missed BNPL Bill Payments [Last 1 Month],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.5370629087448622,12,0.7,0.5249999999999999,False
var501050,No. of Missed BNPL Bill Payments [Last 15 Days],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.5370629087448622,9,0.7,0.5249999999999999,False
var501051,No. of Missed BNPL Bill Payments [Last 7 Days],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.5370629087448622,7,0.7,0.5249999999999999,False
var501103,No. of Missed BNPL Bill Payments [Between 30-60 Days],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.5370629087448622,15,0.7,0.5249999999999999,False
var501104,No. of Missed BNPL Bill Payments [Between 60-90 Days],0.75,keyword_weighted,(over\s?due|overdue|past.?due|arrear|miss(?:ed|ing)?|min[_\s-]?due|mindue),False,,0.5370629087448622,13,0.7,0.5249999999999999,False
var201243,No. of Transactions Declined Due To Insufficient Fund [Lifetime],0.5,keyword_weighted,(declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.016380165623924355,93,1.0,0.5,False
var201244,No. of Transactions Declined Due To Insufficient Fund [Last 12 Months],0.5,keyword_weighted,(declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.016380165623924355,82,1.0,0.5,False
var201245,No. of Transactions Declined Due To Insufficient Fund [Last 6 Months],0.5,keyword_weighted,(declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.016380165623924355,64,1.0,0.5,False
var201246,No. of Transactions Declined Due To Insufficient Fund [Last 3 Months],0.5,keyword_weighted,(declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.016380165623924355,48,1.0,0.5,False
var201247,No. of Transactions Declined Due To Insufficient Fund [Last 1 Month],0.5,keyword_weighted,(declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.016380165623924355,30,1.0,0.5,False
var201248,No. of Cheques Returned Due To Insufficient Fund [Lifetime],0.5,keyword_weighted,(declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.016380165623924355,37,1.0,0.5,False
var201249,No. of Cheques Returned Due To Insufficient Fund [Last 12 Months],0.5,keyword_weighted,(declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.016380165623924355,31,1.0,0.5,False
var201250,No. of Cheques Returned Due To Insufficient Fund [Last 6 Months],0.5,keyword_weighted,(declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.016380165623924355,20,1.0,0.5,False
var201251,No. of Cheques Returned Due To Insufficient Fund [Last 3 Months],0.5,keyword_weighted,(declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.016380165623924355,10,1.0,0.5,False
var201252,No. of Cheques Returned Due To Insufficient Fund [Last 1 Month],0.5,keyword_weighted,(declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.016380165623924355,5,1.0,0.5,False
var201253,No. of Below MAB Penalty Occurrences [Lifetime],0.5,keyword_weighted,(declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.016380165623924355,29,1.0,0.5,False
var201254,No. of Below MAB Penalty Occurrences [Last 12 Months],0.5,keyword_weighted,(declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.016380165623924355,26,1.0,0.5,False
var201255,No. of Below MAB Penalty Occurrences [Last 6 Months],0.5,keyword_weighted,(declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.016380165623924355,16,1.0,0.5,False
var201256,No. of Below MAB Penalty Occurrences [Last 3 Months],0.5,keyword_weighted,(declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.016380165623924355,12,1.0,0.5,False
var201257,No. of Below MAB Penalty Occurrences [Last 1 Month],0.5,keyword_weighted,(declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.016380165623924355,6,1.0,0.5,False
var201258,No. of Below QAB Penalty Occurrences [Lifetime],0.5,keyword_weighted,(declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.016380165623924355,5,1.0,0.5,False
var201259,No. of Below QAB Penalty Occurrences [Last 12 Months],0.5,keyword_weighted,(declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.016380165623924355,5,1.0,0.5,False
var201260,No. of Below QAB Penalty Occurrences [Last 6 Months],0.5,keyword_weighted,(declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.016380165623924355,3,1.0,0.5,False
var201261,No. of Below QAB Penalty Occurrences [Last 3 Months],0.5,keyword_weighted,(declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),True,0.00012350761630300534,0.016380165623924355,2,1.0,0.5,False
var201262,No. of Below QAB Penalty Occurrences [Last 1 Month],0.5,keyword_weighted,(declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),True,8.233841086867023e-05,0.016380165623924355,2,1.0,0.5,False
var201268,No. of Credit Card Applications Rejected [Lifetime],0.5,keyword_weighted,(declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.35068537528599486,14,1.0,0.5,False
var201269,No. of Credit Card Applications Rejected [Last 12 Months],0.5,keyword_weighted,(declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.35068537528599486,11,1.0,0.5,False
var201270,No. of Credit Card Applications Rejected [Last 6 Months],0.5,keyword_weighted,(declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.35068537528599486,8,1.0,0.5,False
var201271,No. of Credit Card Applications Rejected [Last 3 Months],0.5,keyword_weighted,(declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.35068537528599486,6,1.0,0.5,False
var201272,No. of Credit Card Applications Rejected [Last 1 Month],0.5,keyword_weighted,(declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.35068537528599486,4,1.0,0.5,False
var201660,No. of Cheques Returned Due To Insufficient Fund [Between 30-60 Days],0.5,keyword_weighted,(declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.016380165623924355,6,1.0,0.5,False
var201661,No. of Cheques Returned Due To Insufficient Fund [Between 60-90 Days],0.5,keyword_weighted,(declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.016380165623924355,7,1.0,0.5,False
var201680,No. of Transactions Declined Due To Insufficient Fund [Between 30-60 Days],0.5,keyword_weighted,(declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.016380165623924355,30,1.0,0.5,False
var201681,No. of Transactions Declined Due To Insufficient Fund [Between 60-90 Days],0.5,keyword_weighted,(declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.016380165623924355,24,1.0,0.5,False
var202187,No. of Credit Card Applications Rejected [Between 30-60 Days],0.5,keyword_weighted,(declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.35068537528599486,5,1.0,0.5,False
var202188,No. of Credit Card Applications Rejected [Between 60-90 Days],0.5,keyword_weighted,(declin\w*|reject\w*|insufficient|penalt\w*|bounced|nsf|chargeback),False,,0.35068537528599486,5,1.0,0.5,False
